genre,accuracy,precision,recall,f1,balanced_accuracy,support
alternative,0.998,0.0,0.0,0.0,0.5,4
ambient,0.9005,0.0,0.0,0.0,0.5,199
chillout,0.9995,0.0,0.0,0.0,0.5,1
classical,0.755,0.0,0.0,0.0,0.5,490
country,0.999,0.0,0.0,0.0,0.5,2
dance,0.981,0.0,0.0,0.0,0.5,38
easylistening,0.9725,0.0,0.0,0.0,0.5,55
electronic,0.5575,0.5575,1.0,0.7158908507223114,0.5,1115
experimental,0.99,0.0,0.0,0.0,0.5,20
folk,0.9915,0.0,0.0,0.0,0.5,17
house,0.9995,0.0,0.0,0.0,0.5,1
instrumentalpop,0.98,0.0,0.0,0.0,0.5,40
instrumentalrock,0.998,0.0,0.0,0.0,0.5,4
jazz,0.974,0.0,0.0,0.0,0.5,52
jazzfusion,0.9995,0.0,0.0,0.0,0.5,1
latin,0.9995,0.0,0.0,0.0,0.5,1
metal,0.999,0.0,0.0,0.0,0.5,2
newage,0.9995,0.0,0.0,0.0,0.5,1
orchestral,0.9965,0.0,0.0,0.0,0.5,7
pop,0.5805,0.5805,1.0,0.7345776652957925,0.5,1161
popfolk,0.9995,0.0,0.0,0.0,0.5,1
poprock,0.9985,0.0,0.0,0.0,0.5,3
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,0.9995,0.0,0.0,0.0,0.5,1
rock,0.792,0.0,0.0,0.0,0.5,416
soundtrack,0.824,0.0,0.0,0.0,0.5,352
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.996,0.0,0.0,0.0,0.5,8
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.996,0.0,0.0,0.0,0.5,8
Overall,0.9425333333333333,0.569,0.569,0.569,0.7691071428571428,4000
